date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:07	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Dec%202024%2005:32:07%20GMT	https://elegancetr.com/robots.txt		(from )
08:32:08	63577/63577	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202024%2005:32:07%20GMT	https://elegancetr.com/	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/index.html	(from )
08:32:08	284584/284584	---M--	200	added ('OK')	text/javascript	etag:%226cd5bd85d22351ce%22	https://cdn.ampproject.org/v0.js	C:/Benim%20Web%20Sitem/mmmmmmmmm/cdn.ampproject.org/v0.js	(from https://elegancetr.com/)
08:32:09	112724/112724	---M--	200	added ('OK')	text/javascript	etag:%220fb6a320dcd73fbe%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/Benim%20Web%20Sitem/mmmmmmmmm/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://elegancetr.com/)
08:32:09	38724/38724	---M--	200	added ('OK')	text/javascript	etag:%229925a53ff9d805bc%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/Benim%20Web%20Sitem/mmmmmmmmm/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://elegancetr.com/)
08:32:09	84045/84045	---M--	200	added ('OK')	text/javascript	etag:%2273fd3a33f841e334%22	https://cdn.ampproject.org/v0/amp-ad-0.1.js	C:/Benim%20Web%20Sitem/mmmmmmmmm/cdn.ampproject.org/v0/amp-ad-0.1.js	(from https://elegancetr.com/)
08:32:10	60969/60969	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Oct%202024%2010:29:28%20GMT	https://elegancetr.com/images/Vip-Reklam-Alani.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/Vip-Reklam-Alani.jpg	(from https://elegancetr.com/)
08:32:10	43381/43381	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2023:29:18%20GMT	https://elegancetr.com/images/d7ef35cf17d15d11.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/d7ef35cf17d15d11.jpg	(from https://elegancetr.com/)
08:32:10	996033/996033	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Nov%202024%2017:11:37%20GMT	https://elegancetr.com/images/b86e5793ff182b23.png	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/b86e5793ff182b23.png	(from https://elegancetr.com/)
08:32:10	158076/158076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202024%2016:29:38%20GMT	https://elegancetr.com/images/abf9e279cb808809.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/abf9e279cb808809.jpg	(from https://elegancetr.com/)
08:32:11	746338/746338	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Dec%202024%2013:45:49%20GMT	https://elegancetr.com/images/509730f619638c3e.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/509730f619638c3e.jpg	(from https://elegancetr.com/)
08:32:11	212871/212871	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202024%2023:46:49%20GMT	https://elegancetr.com/images/326b80ebd9551b01.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/326b80ebd9551b01.jpg	(from https://elegancetr.com/)
08:32:11	158601/158601	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Nov%202024%2013:46:21%20GMT	https://elegancetr.com/images/f5a4de46fd26d455.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/f5a4de46fd26d455.jpg	(from https://elegancetr.com/)
08:32:11	61600/61600	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2012:46:43%20GMT	https://elegancetr.com/images/879d5c9158bda9d0.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/879d5c9158bda9d0.jpg	(from https://elegancetr.com/)
08:32:12	51505/51505	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2018:37:47%20GMT	https://elegancetr.com/images/1274e246cfc86f60.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/1274e246cfc86f60.jpg	(from https://elegancetr.com/)
08:32:12	72976/72976	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Oct%202024%2013:28:07%20GMT	https://elegancetr.com/images/3d0af15ed3aeadda.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/3d0af15ed3aeadda.jpg	(from https://elegancetr.com/)
08:32:12	312776/312776	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Dec%202024%2001:02:15%20GMT	https://elegancetr.com/images/0c7d17283e4be5fe.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/0c7d17283e4be5fe.jpg	(from https://elegancetr.com/)
08:32:12	197096/197096	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202024%2017:45:45%20GMT	https://elegancetr.com/images/7f5a109766b9a39a.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/7f5a109766b9a39a.jpg	(from https://elegancetr.com/)
08:32:12	476161/476161	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Oct%202024%2019:11:48%20GMT	https://elegancetr.com/images/b1e7be5611ab50a3.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/b1e7be5611ab50a3.jpg	(from https://elegancetr.com/)
08:32:13	186323/186323	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202024%2017:25:11%20GMT	https://elegancetr.com/images/1d1961f3a1a7a456.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/1d1961f3a1a7a456.jpg	(from https://elegancetr.com/)
08:32:13	88168/88168	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2018:29:04%20GMT	https://elegancetr.com/images/7c97ee1de8a2cf77.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/7c97ee1de8a2cf77.jpg	(from https://elegancetr.com/)
08:32:13	117991/117991	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Oct%202024%2013:27:37%20GMT	https://elegancetr.com/images/b644217a6bfbd382.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/b644217a6bfbd382.jpg	(from https://elegancetr.com/)
08:32:13	146421/146421	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202024%2016:10:45%20GMT	https://elegancetr.com/images/66eaf348c81dfef6.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/66eaf348c81dfef6.jpg	(from https://elegancetr.com/)
08:32:14	103897/103897	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202024%2022:54:14%20GMT	https://elegancetr.com/images/33e92fc177cca206.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/33e92fc177cca206.jpg	(from https://elegancetr.com/)
08:32:14	1234376/1234376	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Nov%202024%2023:21:34%20GMT	https://elegancetr.com/images/325f322cab1f036a.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/325f322cab1f036a.jpg	(from https://elegancetr.com/)
08:32:14	128393/128393	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Dec%202024%2021:48:23%20GMT	https://elegancetr.com/images/b6e43b00266487fb.jpeg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/b6e43b00266487fb.jpg	(from https://elegancetr.com/)
08:32:14	130221/130221	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202024%2014:46:10%20GMT	https://elegancetr.com/images/589b6311ef7e41e1.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/589b6311ef7e41e1.jpg	(from https://elegancetr.com/)
08:32:15	483278/483278	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Nov%202024%2023:35:05%20GMT	https://elegancetr.com/images/9a7ea76e913a9f93.jpg	C:/Benim%20Web%20Sitem/mmmmmmmmm/elegancetr.com/images/9a7ea76e913a9f93.jpg	(from https://elegancetr.com/)
